Perovskite_single_crystal,Perovskite_dimension_0D,Perovskite_dimension_2D,Perovskite_dimension_2D3D_mixture,Perovskite_dimension_3D,Perovskite_dimension_3D_with_2D_capping_layer,Perovskite_dimension_list_of_layers,Perovskite_composition_perovskite_ABC3_structure,Perovskite_composition_perovskite_inspired_structure,Perovskite_composition_long_form,Perovskite_composition_a_ions,a_1,a_2,a_3,a_4,Perovskite_composition_a_ions_coefficients,a_1_coeff,a_2_coeff,a_3_coeff,a_4_coeff,A_ion_radius,A_atom_wt,A_EA,A_IE,A_EN,Perovskite_composition_b_ions,b_1,b_2,Perovskite_composition_b_ions_coefficients,b_1_coeff,b_2_coeff,B_ion_radius,B_atom_wt,B_EA,B_IE,B_EN,Perovskite_composition_c_ions,c_1,c_2,Perovskite_composition_c_ions_coefficients,c_1_coeff,c_2_coeff,C_ion_radius,C_atom_wt,C_EA,C_IE,C_EN,Tolerance Factor,Octahedral Factor,Perovskite_band_gap,Perovskite_band_gap_graded,Perovskite_band_gap_estimation_basis,Perovskite_deposition_number_of_deposition_steps,Perovskite_deposition_procedure,Perovskite_deposition_quenching_induced_crystallisation,Substrate_stack_sequence,ETL_stack_sequence,HTL_stack_sequence,JV_average_over_n_number_of_cells,Air or N2,JV_test_atmosphere,JV_light_intensity,JV_light_spectra,JV_light_masked_cell,JV_test_temperature,JV_scan_speed,JV_reverse_scan_Voc,JV_reverse_scan_Jsc,JV_reverse_scan_FF,JV_reverse_scan_PCE
False,False,False,False,True,False,3,True,False,MAPbI3,MA,MA,na,na,na,1,1.0,0.0,0.0,0,2.17,32.07,8.68,926.3,2.55,Pb,Pb,na,1,1.0,0.0,1.19,207.2,110.0,715.6,2.33,I,I,na,3,3.0,0.0,2.2,126.9,295.3,1008.4001,2.66,0.9115211309100921,0.5409090909090909,1.6,False,Composition,1,Spin-coating,1,SLG | FTO,TiO2-c,Spiro-MeOTAD,1,Air,Air,100.0,AM 1.5,False,,,1.06,19.2,0.654,13.3
False,False,False,False,True,False,3,True,False,MAPbI3,MA,MA,na,na,na,1,1.0,0.0,0.0,0,2.17,32.07,8.68,926.3,2.55,Pb,Pb,na,1,1.0,0.0,1.19,207.2,110.0,715.6,2.33,I,I,na,3,3.0,0.0,2.2,126.9,295.3,1008.4001,2.66,0.9115211309100921,0.5409090909090909,1.6,False,Composition,1,Spin-coating,1,SLG | FTO,TiO2-c,Spiro-MeOTAD,1,Air,Air,100.0,AM 1.5,False,,,1.1,21.53,0.727,17.2
False,False,False,False,True,False,3,True,False,Cs0.05FA0.788MA0.162PbBr0.51I2.49,Cs; FA; MA,Cs, FA, MA,na,0.05; 0.788; 0.162,0.05,0.788,0.162,0,2.43218,47.34812,10.45746,837.93634,2.4777598,Pb,Pb,na,1,1.0,0.0,1.19,207.2,110.0,715.6,2.33,Br; I,Br, I,0.51; 2.49,0.51,2.49,2.1592,118.91,300.281,1030.755,2.7110002,0.9693646043844172,0.5511300481659874,1.59,False,,1,Spin-coating,1,SLG | FTO,TiO2-c,Spiro-MeOTAD,1,Air,Air,100.0,AM 1.5,False,,,1.08,22.4,0.763,18.45
False,False,False,False,True,False,3,True,False,Cs0.05FA0.827MA0.123PbBr0.369I2.631,Cs; FA; MA,Cs, FA, MA,na,0.05; 0.827; 0.123,0.05,0.827,0.123,0,2.44622,47.854733,10.454341,834.92554,2.47854,Pb,Pb,na,1,1.0,0.0,1.19,207.2,110.0,715.6,2.33,Br; I,Br, I,0.369; 2.631,0.369,2.631,2.17048,121.118996,298.9039,1024.5746,2.6969001,0.9714385673189347,0.5482658213851314,,False,,1,Spin-coating,1,SLG | FTO,SnO2-c,Spiro-MeOTAD,1,Air,Air,100.0,AM 1.5,False,,10.0,1.11,22.48,0.778,19.43
False,False,False,False,True,False,3,True,False,Cs0.05FA0.827MA0.123PbBr0.369I2.631,Cs; FA; MA,Cs, FA, MA,na,0.05; 0.827; 0.123,0.05,0.827,0.123,0,2.44622,47.854733,10.454341,834.92554,2.47854,Pb,Pb,na,1,1.0,0.0,1.19,207.2,110.0,715.6,2.33,Br; I,Br, I,0.369; 2.631,0.369,2.631,2.17048,121.118996,298.9039,1024.5746,2.6969001,0.9714385673189347,0.5482658213851314,,False,,1,Spin-coating,1,SLG | FTO,SnO2-c,Spiro-MeOTAD,1,Air,Air,100.0,AM 1.5,False,,10.0,1.134,23.01,0.785,20.52
False,False,False,False,True,False,3,True,False,Cs0.05FA0.827MA0.123PbBr0.369I2.631,Cs; FA; MA,Cs, FA, MA,na,0.05; 0.827; 0.123,0.05,0.827,0.123,0,2.44622,47.854733,10.454341,834.92554,2.47854,Pb,Pb,na,1,1.0,0.0,1.19,207.2,110.0,715.6,2.33,Br; I,Br, I,0.369; 2.631,0.369,2.631,2.17048,121.118996,298.9039,1024.5746,2.6969001,0.9714385673189347,0.5482658213851314,,False,,1,Spin-coating,1,SLG | FTO,SnO2-c,Spiro-MeOTAD,1,Air,Air,100.0,AM 1.5,False,,10.0,1.152,23.4,0.783,21.2
False,False,False,False,True,False,3,True,False,Cs0.05FA0.788MA0.162PbBr0.5I2.5,Cs; FA; MA,Cs, FA, MA,na,0.05; 0.788; 0.162,0.05,0.788,0.162,0,2.43218,47.34812,10.45746,837.93634,2.4777598,Pb,Pb,na,1,1.0,0.0,1.19,207.2,110.0,715.6,2.33,Br; I,Br, I,0.5; 2.5,0.5,2.5,2.16,119.06667,300.18332,1030.3167,2.71,0.9693019756505192,0.5509259259259258,,False,,1,Spin-coating,1,SLG | ITO,PCBM-60,PEDOT:PSS,1,Air,Air,100.0,AM 1.5,False,,,0.94,22.28,0.72,15.6
False,False,False,False,True,False,3,True,False,Cs0.05FA0.788MA0.162PbBr0.5I2.5,Cs; FA; MA,Cs, FA, MA,na,0.05; 0.788; 0.162,0.05,0.788,0.162,0,2.43218,47.34812,10.45746,837.93634,2.4777598,Pb,Pb,na,1,1.0,0.0,1.19,207.2,110.0,715.6,2.33,Br; I,Br, I,0.5; 2.5,0.5,2.5,2.16,119.06667,300.18332,1030.3167,2.71,0.9693019756505192,0.5509259259259258,,False,,1,Spin-coating,1,SLG | ITO,PCBM-60,PEDOT:PSS,1,Air,Air,100.0,AM 1.5,False,,,0.87,22.02,0.69,13.24
False,False,False,False,True,False,3,True,False,Cs0.05FA0.788MA0.162PbBr0.5I2.5,Cs; FA; MA,Cs, FA, MA,na,0.05; 0.788; 0.162,0.05,0.788,0.162,0,2.43218,47.34812,10.45746,837.93634,2.4777598,Pb,Pb,na,1,1.0,0.0,1.19,207.2,110.0,715.6,2.33,Br; I,Br, I,0.5; 2.5,0.5,2.5,2.16,119.06667,300.18332,1030.3167,2.71,0.9693019756505192,0.5509259259259258,,False,,1,Spin-coating,1,SLG | ITO,PCBM-60,PEDOT:PSS,1,Air,Air,100.0,AM 1.5,False,,,0.85,20.25,0.67,11.7
False,False,False,False,True,False,3,True,False,Cs0.05FA0.788MA0.162PbBr0.5I2.5,Cs; FA; MA,Cs, FA, MA,na,0.05; 0.788; 0.162,0.05,0.788,0.162,0,2.43218,47.34812,10.45746,837.93634,2.4777598,Pb,Pb,na,1,1.0,0.0,1.19,207.2,110.0,715.6,2.33,Br; I,Br, I,0.5; 2.5,0.5,2.5,2.16,119.06667,300.18332,1030.3167,2.71,0.9693019756505192,0.5509259259259258,,False,,1,Spin-coating,1,SLG | ITO,PCBM-60,PEDOT:PSS,1,Air,Air,100.0,AM 1.5,False,,,0.73,18.4,0.62,8.37
